"p_{T} (GeV/c)","R_{AA}","StatError","SystError"
0.175,0.8343884481576704,0.0005459400926954138,0.049882250482400685
0.225,0.8363384145915653,0.0005395120093652911,0.049294919991225684
0.275,0.8383038311348194,0.0005330329945992752,0.04870293592234747
0.325,0.8406156553931858,0.0005254120434284918,0.04800661374286017
0.375,0.8429797254160969,0.000517618863586332,0.04729455512298172
0.425,0.8454121011856495,0.0005096005131854858,0.0465619227911522
0.475,0.8478324827913575,0.000501621701662504,0.045832903105171206
0.525,0.8502372109967935,0.000493694491725888,0.04510859822817904
0.575,0.8526567794388505,0.0004857183608047955,0.044379823467340346
0.625,0.8550043828978389,0.0004779794631508905,0.04367272458159294
0.675,0.8572928287012536,0.00047043557928441943,0.04298344399994605
0.725,0.8595942851230761,0.0004628488057877222,0.04229024461602275
0.775,0.8616670392681961,0.00045601595157234175,0.041665930428364265
0.825,0.8637046240854321,0.00044929903338866586,0.04105220925310917
0.875,0.865657030010278,0.0004428629082528757,0.04046414398650734
0.925,0.8673687394945768,0.0004372202412762669,0.03994857656201884
0.975,0.8690430434509526,0.0004317008819865576,0.03944427569407503
1.05,0.8712113443250061,0.00042455305704920486,0.038791182802199224
1.15,0.8739905343914962,0.0004153914299426466,0.03795408989718948
1.3,0.8772761221213343,0.0004045604580096354,0.03696446985982809
1.5,0.8806472953253875,0.0003934473527277939,0.035949071451242286
1.7,0.8829497682017731,0.00038585722847873547,0.03525556591089118
1.9,0.8836063978495504,0.00038369264245326673,0.035057788858504246
2.1,0.883682835232697,0.000383440665875689,0.03503476589513044
2.3,0.8821463625150807,0.00038850566314519125,0.035497551951458685
2.5,0.8794163688494457,0.00039750511383745767,0.0363198268853608
2.7,0.8753895824521786,0.00041077945439240636,0.03753269618990567
2.9,0.8706215973874822,0.00042649716356929317,0.03896881476163404
3.1,0.8662437275841125,0.00044092885398987186,0.040287430496356046
3.4,0.8593082548090134,0.00046379170750222203,0.04237639703481793
3.8,0.8491406598140964,0.0004973092833733735,0.04543887978253661
4.5,0.837704529524402,0.0005350085981915605,0.04888344575220401
5.5,0.8265979338040724,0.0005716215990941796,0.05222875580796452
7,0.8229354447222285,0.0005836950300028001,0.05333189864877028
9,0.8245298553499427,0.0005784390398486975,0.05285166167605493
11.5,0.8290736105380143,0.0005634605066427374,0.05148308121230885
16.5,0.8368748993099814,0.0005377434822689407,0.049133330628609896
25,0.8572901859193897,0.0004704442912405591,0.04298424000665847
